datset,strategy,data_name,coverage,mean_width,cwc,mwi,total_time,layer_size,ssc,cv_size,optimiser,bagging_fraction,dataset,normalised_mean_width
,split_gamma,real_datasets\concrete.csv,0.951456311,24.2222382,0.657246906,25.59860907,356.3614037,"(400, 2000, 2000, 2000)",[[0.80952381 0.97560976 0.97560976 1.         1.        ]],50,adam,1,concrete,
,split_gamma,real_datasets\concrete.csv,0.932038835,26.42400329,0.62609242,29.03101477,270.6954892,"(400, 2000, 2000, 2000)",[[0.78571429 0.95121951 0.97560976 1.         0.95121951]],50,adam,1,concrete,
,split_gamma,real_datasets\boston.csv,0.931372549,35.88621753,0.2025283,39.26784121,8.297134876,"(200, 1000)",[[0.80952381 0.9047619  0.95       1.         1.        ]],50,adam,1,boston,
,split_gamma,real_datasets\boston.csv,0.705882353,9.795290152,0.782297407,23.53585954,11.12733936,"(200, 1000)",[[0.52380952 0.57142857 0.8        0.8        0.85      ]],50,adam,1,boston,
,split_gamma,real_datasets\boston.csv,0.911764706,23.50904814,0.477576642,28.27740627,10.27670884,"(200, 1000)",[[0.76190476 0.9047619  0.95       0.95       1.        ]],50,adam,1,boston,
,split_gamma,real_datasets\concrete.csv,0.932038835,28.80764941,0.592363204,31.11472747,15.616822,"(200, 1000)",[[0.78571429 0.97560976 1.         0.97560976 0.92682927]],50,adam,1,concrete,
,split_gamma,real_datasets\concrete.csv,0.946601942,31.91892829,0.548337166,33.36753887,16.10008383,"(200, 1000)",[[0.80952381 0.97560976 0.97560976 1.         0.97560976]],50,adam,1,concrete,
,split_gamma,real_datasets\concrete.csv,0.868932039,21.61379726,0.694158135,25.78228385,19.69960165,"(200, 1000)",[[0.71428571 0.92682927 0.87804878 0.87804878 0.95121951]],50,adam,1,concrete,
,split_gamma,real_datasets\hour.csv,0.894418872,23.21592504,0.976213161,24.09537337,27.42099357,"(200, 1000)",[[0.5316092  0.94244604 0.99856115 1.         1.        ]],50,adam,1,hour,
,split,real_datasets\concrete.csv,0.95631068,26.07390573,0.631045038,27.72524773,17.62975192,"(200, 1000)",999,50,adam,1,concrete,
,split_resid_norm,real_datasets\concrete.csv,0.902912621,82.41494903,-0.166194268,92.19282586,15.22660851,"(200, 1000)",[[0.57142857 0.95121951 1.         1.         1.        ]],50,adam,1,concrete,
,jackknife_plus_ab,real_datasets\concrete.csv,0.854368932,18.99031478,0.731280283,25.17188727,503.7962112,"(200, 1000)",[[0.78571429 0.85365854 0.90243902 0.92682927 0.80487805]],50,adam,1,concrete,
,split,real_datasets\concrete.csv,0.86407767,20.04270202,0.716389312,24.75176468,307.7690501,"(400, 2000, 2000, 2000)",999,50,adam,1,concrete,
,split_resid_norm,real_datasets\concrete.csv,0.922330097,73.93639178,-0.046220322,80.17464379,271.6485362,"(400, 2000, 2000, 2000)",[[0.61904762 1.         1.         1.         1.        ]],50,adam,1,concrete,
,split,real_datasets\hour.csv,0.897295742,2.152858079,0.997794195,2.979012032,27.19192195,"(200, 1000)",999,50,adam,1,hour,
