strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc
split,linear,0.926666667,1.800663193,0.858965762,15254.43129,5.362886429,0.5,500,normal,"(400, 2000)",999
split,linear,0.923333333,3.565936419,0.735204328,11426.42829,8.554878473,1.0,500,normal,"(400, 2000)",999
jackknife_plus,linear,1.0,0.068402126,0.993149856,19864.07784,20.3791604,0.0,500,normal,"(400, 2000)",[[1. 1. 1. 1. 1.]]
jackknife_plus,linear,0.923333333,0.697593373,0.932746916,18008.9191,15.42392302,0.2,500,normal,"(400, 2000)",[[0.93333333 0.95       0.95       0.9        0.88333333]]
jackknife_plus,linear,0.913333333,1.706178703,0.866366542,15435.71436,16.99675751,0.5,500,normal,"(400, 2000)",[[0.93333333 0.93333333 0.91666667 0.91666667 0.86666667]]
jackknife_plus,linear,0.89,3.297243983,0.755156912,12004.99863,18.50209594,1.0,500,normal,"(400, 2000)",[[0.91666667 0.8        0.9        0.95       0.88333333]]
jackknife_plus_ab,linear,1.0,0.029752586,0.997014771,19970.44854,180.7288885,0.0,500,normal,"(400, 2000)",[[1. 1. 1. 1. 1.]]
jackknife_plus_ab,linear,0.893333333,0.641644069,0.938141262,18196.52962,166.6329918,0.2,500,normal,"(400, 2000)",[[0.91666667 0.85       0.9        0.91666667 0.88333333]]
jackknife_plus_ab,linear,0.903333333,1.664765518,0.869610298,15347.22877,181.5893009,0.5,500,normal,"(400, 2000)",[[0.91666667 0.93333333 0.83333333 0.96666667 0.86666667]]
jackknife_plus_ab,linear,0.89,3.298934362,0.75503139,11987.54004,168.3213716,1.0,500,normal,"(400, 2000)",[[0.86666667 0.91666667 0.85       0.91666667 0.9       ]]
cqr,linear,0.903333333,2.633005612,0.736699431,10338.84348,0.06698966,0.0,500,normal,"(400, 2000)",[[0.88333333 0.8        0.95       0.93333333 0.95      ]]
cqr,linear,0.91,1.555672145,0.850022917,14389.17604,0.066539764,0.2,500,normal,"(400, 2000)",[[0.83333333 0.95       0.9        0.93333333 0.93333333]]
cqr,linear,0.903333333,1.854246743,0.85476953,14945.57408,0.084002018,0.5,500,normal,"(400, 2000)",[[0.85       0.86666667 0.91666667 0.91666667 0.96666667]]
cqr,linear,0.89,3.52605938,0.738165799,11458.94331,0.078000546,1.0,500,normal,"(400, 2000)",[[0.81666667 0.88333333 0.88333333 0.93333333 0.93333333]]
split,linear,0.856666667,0.010533876,0.998944737,20033.29292,68.65625763,0.0,500,normal,"(400, 2000, 2000, 2000)",999
split,linear,0.976666667,0.933719888,0.910334874,17487.08632,70.09628654,0.2,500,normal,"(400, 2000, 2000, 2000)",999
split,linear,0.936666667,1.706727692,0.849123524,15224.43259,62.84555292,0.5,500,normal,"(400, 2000, 2000, 2000)",999
split,linear,0.913333333,3.38167604,0.760839113,12327.50039,67.13517022,1.0,500,normal,"(400, 2000, 2000, 2000)",999
jackknife_plus,linear,0.95,0.034206118,0.996576897,19956.77121,196.1112168,0.0,500,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         0.98333333 0.76666667]]
jackknife_plus,linear,0.903333333,0.697406307,0.933032055,18138.34932,196.6111808,0.2,500,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.8        0.91666667 0.95       0.93333333]]
jackknife_plus,linear,0.95,1.766108961,0.84387323,15156.13778,221.9869504,0.5,500,normal,"(400, 2000, 2000, 2000)",[[0.95       0.96666667 0.96666667 0.95       0.91666667]]
jackknife_plus,linear,0.896666667,3.19633126,0.773947295,12397.49856,185.5898111,1.0,500,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.95       0.86666667 0.85       0.9       ]]
jackknife_plus_ab,linear,0.91,0.012456225,0.998754278,20027.58782,1920.099806,0.0,500,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         0.96666667 0.58333333]]
jackknife_plus_ab,linear,0.903333333,0.661891693,0.93644232,18215.40796,2064.660847,0.2,500,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.93333333 0.95       0.85       0.91666667]]
jackknife_plus_ab,linear,0.95,1.742916564,0.845923441,15163.40232,2105.499944,0.5,500,normal,"(400, 2000, 2000, 2000)",[[0.98333333 0.95       0.93333333 0.95       0.93333333]]
jackknife_plus_ab,linear,0.9,3.14660538,0.777464045,12480.53262,1881.849207,1.0,500,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.91666667 0.85       0.85       0.91666667]]
cqr,linear,0.903333333,2.633005612,0.736699431,10338.84348,0.098768711,0.0,500,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.8        0.95       0.93333333 0.95      ]]
cqr,linear,0.906666667,1.380969215,0.867393394,15116.55134,0.069000483,0.2,500,normal,"(400, 2000, 2000, 2000)",[[0.8        0.93333333 0.93333333 0.95       0.91666667]]
cqr,linear,0.93,1.929023058,0.82947293,14585.11708,0.073000908,0.5,500,normal,"(400, 2000, 2000, 2000)",[[0.83333333 0.95       0.91666667 1.         0.95      ]]
cqr,linear,0.94,3.772072884,0.733228215,11286.05819,0.076998711,1.0,500,normal,"(400, 2000, 2000, 2000)",[[0.9  0.9  0.95 1.   0.95]]
split,linear,0.936666667,0.005104628,0.999488193,20052.89164,9.394730091,0.0,1000,normal,"(400, 2000)",999
split,linear,0.92,0.723533716,0.929761766,17943.1897,11.69463944,0.2,1000,normal,"(400, 2000)",999
split,linear,0.853333333,1.430378562,0.871952389,16192.9103,8.513241768,0.5,1000,normal,"(400, 2000)",999
split,linear,0.883333333,3.149833576,0.759510507,12342.06129,17.7236259,1.0,1000,normal,"(400, 2000)",999
jackknife_plus,linear,1.0,0.051727045,0.994817347,19933.64129,22.17037153,0.0,1000,normal,"(400, 2000)",[[1. 1. 1. 1. 1.]]
jackknife_plus,linear,0.9,0.655784417,0.936338978,18195.77946,28.50032806,0.2,1000,normal,"(400, 2000)",[[0.88333333 0.9        0.9        0.88333333 0.93333333]]
jackknife_plus,linear,0.94,1.769331086,0.841610332,15468.1471,23.25474072,0.5,1000,normal,"(400, 2000)",[[0.93333333 0.86666667 0.96666667 0.96666667 0.96666667]]
jackknife_plus,linear,0.903333333,3.475788761,0.734624085,11592.8323,34.75952315,1.0,1000,normal,"(400, 2000)",[[0.93333333 0.88333333 0.85       0.91666667 0.93333333]]
jackknife_plus_ab,linear,0.893333333,0.007154477,0.999284508,20044.08493,245.9986036,0.0,1000,normal,"(400, 2000)",[[0.9        0.85       0.95       0.98333333 0.78333333]]
jackknife_plus_ab,linear,0.893333333,0.652235497,0.936683452,18173.80597,253.3636806,0.2,1000,normal,"(400, 2000)",[[0.86666667 0.86666667 0.93333333 0.88333333 0.91666667]]
jackknife_plus_ab,linear,0.9,1.586230943,0.858002576,15894.00866,243.2759624,0.5,1000,normal,"(400, 2000)",[[0.9        0.9        0.88333333 0.88333333 0.93333333]]
jackknife_plus_ab,linear,0.906666667,3.457691788,0.736005761,11577.87799,302.9807069,1.0,1000,normal,"(400, 2000)",[[0.86666667 0.91666667 0.91666667 0.93333333 0.9       ]]
cqr,linear,0.903333333,1.808866811,0.81911331,13169.38636,0.093988419,0.0,1000,normal,"(400, 2000)",[[0.85       0.9        0.91666667 0.93333333 0.91666667]]
cqr,linear,0.923333333,1.133287296,0.889984356,15964.81525,0.104996681,0.2,1000,normal,"(400, 2000)",[[0.83333333 0.86666667 0.98333333 0.96666667 0.96666667]]
cqr,linear,0.906666667,1.741422519,0.844109982,15416.10715,0.102787971,0.5,1000,normal,"(400, 2000)",[[0.85       0.85       0.91666667 0.95       0.96666667]]
cqr,linear,0.883333333,3.497159613,0.732992228,11505.22749,0.116000414,1.0,1000,normal,"(400, 2000)",[[0.81666667 0.85       0.85       0.96666667 0.93333333]]
split,linear,0.87,0.009225701,0.999076531,20031.91006,94.2114954,0.0,1000,normal,"(400, 2000, 2000, 2000)",999
split,linear,0.886666667,0.66284228,0.935592127,18192.76425,100.0821283,0.2,1000,normal,"(400, 2000, 2000, 2000)",999
split,linear,0.91,1.801706265,0.833962915,15181.89572,112.1798911,0.5,1000,normal,"(400, 2000, 2000, 2000)",999
split,linear,0.866666667,3.205155358,0.756068546,12502.75348,77.330019,1.0,1000,normal,"(400, 2000, 2000, 2000)",999
jackknife_plus,linear,0.933333333,0.013424841,0.998656406,20024.0358,256.4868422,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.66666667]]
jackknife_plus,linear,0.906666667,0.65829081,0.936034513,18239.46266,277.8202507,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.91666667 0.88333333 0.9        0.91666667]]
jackknife_plus,linear,0.893333333,1.689137912,0.844336745,15573.59623,296.4285614,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.9        0.88333333 0.91666667 0.85      ]]
jackknife_plus,linear,0.87,3.298443716,0.748968935,11980.04081,246.6506927,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.91666667 0.9        0.78333333 0.9       ]]
jackknife_plus_ab,linear,0.926666667,0.004834212,0.999515868,20051.40142,2601.867998,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.63333333]]
jackknife_plus_ab,linear,0.89,0.634903106,0.93830702,18281.54978,2655.260807,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.83333333 0.85       0.86666667 0.93333333 0.96666667]]
jackknife_plus_ab,linear,0.883333333,1.629802041,0.849804668,15748.21029,2806.189913,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.95       0.9        0.83333333 0.83333333]]
jackknife_plus_ab,linear,0.87,3.275113242,0.750744516,12006.87014,2709.335371,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.91666667 0.86666667 0.83333333 0.88333333]]
cqr,linear,0.903333333,1.808866811,0.81911331,13169.38636,0.155999899,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.9        0.91666667 0.93333333 0.91666667]]
cqr,linear,0.906666667,1.078478703,0.895205287,16206.7796,0.207782269,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.8        0.9        0.93333333 0.9        1.        ]]
cqr,linear,0.886666667,1.720723444,0.841425854,15453.02735,0.278898954,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.85       0.88333333 0.88333333 0.96666667]]
cqr,linear,0.883333333,3.5251941,0.731712408,11597.23484,0.107792139,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.83333333 0.83333333 0.86666667 0.95       0.93333333]]
split,cube,0.963333333,0.082065124,0.990440928,4063.489823,12.41452265,0.0,100,normal,"(200, 1000, 1000, 1000)",999
split,cube,0.926666667,0.765608575,0.918528497,4030.142217,9.44013834,0.2,100,normal,"(200, 1000, 1000, 1000)",999
split,cube,0.91,1.970846094,0.818949814,2194.847149,4.320968866,0.5,100,normal,"(200, 1000, 1000, 1000)",999
split,cube,0.906666667,3.55844666,0.720404597,1237.492321,7.084203243,1.0,100,normal,"(200, 1000, 1000, 1000)",999
jackknife_plus,cube,0.983333333,0.067081925,0.992182551,4059.025016,41.13825965,0.0,100,normal,"(200, 1000, 1000, 1000)",[[1.         1.         1.         1.         0.91666667]]
