strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
jackknife_plus_ab,linear,0.92,0.871982887,0.916928051,16932.08819,14.35207963,0.2,1000,normal,"(200, 1000)",[[0.88333333 0.93333333 0.91666667 0.95       0.91666667]],50,adam,0.1
jackknife_plus_ab,linear,0.913333333,1.732596992,0.84705186,14949.97542,15.15897655,0.5,1000,normal,"(200, 1000)",[[0.95       0.91666667 0.93333333 0.86666667 0.9       ]],50,adam,0.1
jackknife_plus_ab,linear,0.893333333,3.235616358,0.759281881,12188.39288,15.39493322,1,1000,normal,"(200, 1000)",[[0.86666667 0.85       0.96666667 0.9        0.88333333]],50,adam,0.1
jackknife_plus_ab,linear,0.903333333,0.157232721,0.984276717,19482.02476,42.45478845,0,1000,normal,"(200, 1000)",[[1.         1.         1.         1.         0.51666667]],50,adam,0.3
jackknife_plus_ab,linear,0.88,0.65623202,0.937027978,17981.60417,43.06872082,0.2,1000,normal,"(200, 1000)",[[0.93333333 0.81666667 0.91666667 0.85       0.88333333]],50,adam,0.3
jackknife_plus_ab,linear,0.886666667,1.623755713,0.863176466,15492.96805,41.22289634,0.5,1000,normal,"(200, 1000)",[[0.88333333 0.9        0.86666667 0.85       0.93333333]],50,adam,0.3
jackknife_plus_ab,linear,0.89,3.061907059,0.75134297,12583.16633,38.38584304,1,1000,normal,"(200, 1000)",[[0.9        0.9        0.86666667 0.93333333 0.85      ]],50,adam,0.3
jackknife_plus_ab,linear,0.936666667,0.023562504,0.997642408,19981.29118,64.41473794,0,1000,normal,"(200, 1000)",[[1.         1.         0.98333333 0.93333333 0.76666667]],50,adam,0.5
jackknife_plus_ab,linear,0.916666667,0.662888344,0.936022285,18076.43858,62.21810651,0.2,1000,normal,"(200, 1000)",[[0.86666667 0.96666667 0.96666667 0.85       0.93333333]],50,adam,0.5
jackknife_plus_ab,linear,0.923333333,1.651306546,0.846168241,15384.78878,73.51446199,0.5,1000,normal,"(200, 1000)",[[0.96666667 0.91666667 0.9        0.95       0.88333333]],50,adam,0.5
jackknife_plus_ab,linear,0.893333333,3.307145024,0.754390808,12222.76058,55.45426965,1,1000,normal,"(200, 1000)",[[0.9        0.86666667 0.85       0.9        0.95      ]],50,adam,0.5
jackknife_plus_ab,sinex_het,0.88,5.230522462,0.632477279,5176.93094,7.873355627,0,1000,normal,"(200, 1000)",[[0.93333333 0.91666667 0.96666667 0.78333333 0.8       ]],5,adam,0.1
jackknife_plus_ab,sinex_het,0.903333333,5.236441519,0.659253987,4853.673227,6.963225365,0.2,1000,normal,"(200, 1000)",[[0.95       0.95       0.93333333 0.85       0.83333333]],5,adam,0.1
jackknife_plus_ab,sinex_het,0.893333333,6.860813232,0.480629096,2131.686071,6.093025446,0.5,1000,normal,"(200, 1000)",[[0.95       0.98333333 0.98333333 0.85       0.7       ]],5,adam,0.1
jackknife_plus_ab,sinex_het,0.91,6.674125791,0.600228432,2916.329984,6.603136778,1,1000,normal,"(200, 1000)",[[0.9        0.95       0.91666667 0.93333333 0.85      ]],5,adam,0.1
jackknife_plus_ab,sinex_het,0.91,5.254605308,0.605714091,5019.639632,13.08013868,0,1000,normal,"(200, 1000)",[[0.86666667 0.88333333 0.95       0.95       0.9       ]],5,adam,0.3
jackknife_plus_ab,sinex_het,0.856666667,5.013732295,0.620133778,5584.298673,11.11017871,0.2,1000,normal,"(200, 1000)",[[0.76666667 0.86666667 0.91666667 0.88333333 0.85      ]],5,adam,0.3
jackknife_plus_ab,sinex_het,0.896666667,5.088047407,0.666008378,5662.045049,11.81141543,0.5,1000,normal,"(200, 1000)",[[0.96666667 0.96666667 0.88333333 0.8        0.86666667]],5,adam,0.3
jackknife_plus_ab,sinex_het,0.89,5.815806062,0.606729365,4896.492912,9.131162882,1,1000,normal,"(200, 1000)",[[0.9        0.91666667 0.91666667 0.86666667 0.85      ]],5,adam,0.3
jackknife_plus_ab,sinex_het,0.886666667,4.76294409,0.668914668,6144.86627,13.49301004,0,1000,normal,"(200, 1000)",[[0.98333333 0.91666667 0.83333333 0.85       0.85      ]],5,adam,0.5
jackknife_plus_ab,sinex_het,0.9,4.934673562,0.674228254,6035.555839,13.79999781,0.2,1000,normal,"(200, 1000)",[[0.93333333 0.93333333 0.91666667 0.98333333 0.73333333]],5,adam,0.5
jackknife_plus_ab,sinex_het,0.906666667,5.376778323,0.605160949,5430.92514,13.51517081,0.5,1000,normal,"(200, 1000)",[[0.78333333 0.86666667 0.93333333 0.96666667 0.98333333]],5,adam,0.5
jackknife_plus_ab,sinex_het,0.926666667,5.864509818,0.579199057,4693.016769,12.78255677,1,1000,normal,"(200, 1000)",[[0.96666667 1.         0.98333333 0.91666667 0.76666667]],5,adam,0.5
jackknife_plus_ab,sinex_het,0.906666667,4.975996046,0.679737176,5174.141829,11.43315411,0,1000,normal,"(200, 1000)",[[0.96666667 0.88333333 0.85       0.93333333 0.9       ]],10,adam,0.1
jackknife_plus_ab,sinex_het,0.88,4.798595011,0.68750286,6008.483939,13.24579525,0.2,1000,normal,"(200, 1000)",[[0.91666667 0.98333333 0.83333333 0.86666667 0.8       ]],10,adam,0.1
jackknife_plus_ab,sinex_het,0.9,5.994082368,0.626286494,3934.965513,11.86322379,0.5,1000,normal,"(200, 1000)",[[0.98333333 0.91666667 0.95       0.93333333 0.71666667]],10,adam,0.1
jackknife_plus_ab,sinex_het,0.91,6.547079023,0.637221001,3269.637552,11.33153558,1,1000,normal,"(200, 1000)",[[0.85       0.9        0.9        0.93333333 0.96666667]],10,adam,0.1
jackknife_plus_ab,sinex_het,0.87,4.884275134,0.73402837,6033.713716,19.42495012,0,1000,normal,"(200, 1000)",[[0.8        0.85       0.83333333 0.88333333 0.98333333]],10,adam,0.3
jackknife_plus_ab,sinex_het,0.906666667,4.90224913,0.656328081,5880.59167,16.76049423,0.2,1000,normal,"(200, 1000)",[[0.88333333 0.9        0.88333333 0.95       0.91666667]],10,adam,0.3
jackknife_plus_ab,sinex_het,0.926666667,5.258973997,0.632174636,5447.148282,17.3853178,0.5,1000,normal,"(200, 1000)",[[0.78333333 0.98333333 0.91666667 0.98333333 0.96666667]],10,adam,0.3
jackknife_plus_ab,sinex_het,0.886666667,5.831890833,0.624507222,4789.953504,18.02675319,1,1000,normal,"(200, 1000)",[[0.91666667 0.93333333 0.95       0.83333333 0.8       ]],10,adam,0.3
jackknife_plus_ab,sinex_het,0.896666667,4.736141246,0.678063215,5747.492518,23.48677063,0,1000,normal,"(200, 1000)",[[0.93333333 0.91666667 0.98333333 0.93333333 0.71666667]],10,adam,0.5
jackknife_plus_ab,sinex_het,0.92,4.786905739,0.627692837,6274.142971,27.06204772,0.2,1000,normal,"(200, 1000)",[[1.         1.         0.9        0.83333333 0.86666667]],10,adam,0.5
jackknife_plus_ab,sinex_het,0.9,5.422653639,0.652606194,4738.235253,23.96786952,0.5,1000,normal,"(200, 1000)",[[0.71666667 0.9        0.96666667 0.95       0.96666667]],10,adam,0.5
jackknife_plus_ab,sinex_het,0.9,5.806000888,0.604560618,5089.592364,25.17166638,1,1000,normal,"(200, 1000)",[[0.86666667 0.86666667 0.96666667 0.91666667 0.88333333]],10,adam,0.5
jackknife_plus_ab,sinex_het,0.896666667,5.671644125,0.611206457,3683.142495,17.95373106,0,1000,normal,"(200, 1000)",[[0.91666667 0.85       0.83333333 0.95       0.93333333]],20,adam,0.1
jackknife_plus_ab,sinex_het,0.88,5.573822592,0.555059273,4152.965373,19.11030316,0.2,1000,normal,"(200, 1000)",[[0.78333333 0.91666667 0.95       0.96666667 0.78333333]],20,adam,0.1
jackknife_plus_ab,sinex_het,0.906666667,5.400979819,0.598433508,4422.164981,22.36535001,0.5,1000,normal,"(200, 1000)",[[0.88333333 0.9        0.95       0.93333333 0.86666667]],20,adam,0.1
jackknife_plus_ab,sinex_het,0.89,6.400155804,0.617689516,3620.631442,17.7220788,1,1000,normal,"(200, 1000)",[[0.9        0.95       0.83333333 0.9        0.86666667]],20,adam,0.1
jackknife_plus_ab,sinex_het,0.89,4.909450026,0.627157023,5635.265398,35.37946701,0,1000,normal,"(200, 1000)",[[0.81666667 0.88333333 0.96666667 0.98333333 0.8       ]],20,adam,0.3
jackknife_plus_ab,sinex_het,0.916666667,4.911355713,0.673706374,5742.318535,33.91054153,0.2,1000,normal,"(200, 1000)",[[0.91666667 0.83333333 0.93333333 0.93333333 0.96666667]],20,adam,0.3
jackknife_plus_ab,sinex_het,0.926666667,5.408598118,0.62825172,4856.748841,36.29858351,0.5,1000,normal,"(200, 1000)",[[0.93333333 0.96666667 0.95       0.83333333 0.95      ]],20,adam,0.3
jackknife_plus_ab,sinex_het,0.91,6.052674059,0.621056299,4592.649939,30.29841471,1,1000,normal,"(200, 1000)",[[0.98333333 0.9        0.85       0.83333333 0.98333333]],20,adam,0.3
jackknife_plus_ab,sinex_het,0.866666667,4.962273968,0.675076246,6159.983623,43.44848728,0,1000,normal,"(200, 1000)",[[0.78333333 0.91666667 0.88333333 0.93333333 0.81666667]],20,adam,0.5
jackknife_plus_ab,sinex_het,0.903333333,5.013471093,0.637617566,5838.281522,44.10812569,0.2,1000,normal,"(200, 1000)",[[0.98333333 0.93333333 0.98333333 0.85       0.76666667]],20,adam,0.5
jackknife_plus_ab,sinex_het,0.89,4.7917313,0.6494662,6050.799995,48.14085007,0.5,1000,normal,"(200, 1000)",[[0.91666667 0.83333333 0.88333333 0.95       0.86666667]],20,adam,0.5
jackknife_plus_ab,sinex_het,0.89,5.839131705,0.654052205,5182.904401,48.33713818,1,1000,normal,"(200, 1000)",[[0.73333333 0.9        0.95       0.91666667 0.95      ]],20,adam,0.5
jackknife_plus_ab,sinex_het,0.91,4.962992803,0.617015745,4675.602628,50.31081152,0,1000,normal,"(200, 1000)",[[0.93333333 0.88333333 0.91666667 0.88333333 0.93333333]],50,adam,0.1
jackknife_plus_ab,sinex_het,0.896666667,4.989348869,0.666306551,4740.814139,43.45693874,0.2,1000,normal,"(200, 1000)",[[0.86666667 0.95       0.93333333 0.9        0.83333333]],50,adam,0.1
jackknife_plus_ab,sinex_het,0.903333333,5.585645393,0.62642999,4430.886826,49.62631536,0.5,1000,normal,"(200, 1000)",[[0.78333333 0.96666667 0.85       0.95       0.96666667]],50,adam,0.1
jackknife_plus_ab,sinex_het,0.893333333,6.416383339,0.618674535,4134.748341,46.34735751,1,1000,normal,"(200, 1000)",[[0.9        0.85       0.96666667 0.9        0.85      ]],50,adam,0.1
jackknife_plus_ab,sinex_het,0.92,4.85468296,0.588518917,5221.190025,87.838305,0,1000,normal,"(200, 1000)",[[0.93333333 0.88333333 0.91666667 0.95       0.91666667]],50,adam,0.3
jackknife_plus_ab,sinex_het,0.926666667,5.124747363,0.663279649,5391.868316,87.65176582,0.2,1000,normal,"(200, 1000)",[[0.98333333 0.95       0.96666667 0.9        0.83333333]],50,adam,0.3
jackknife_plus_ab,sinex_het,0.886666667,5.125935553,0.627430801,5281.833215,88.1812427,0.5,1000,normal,"(200, 1000)",[[0.8        0.83333333 0.91666667 0.98333333 0.9       ]],50,adam,0.3
jackknife_plus_ab,sinex_het,0.896666667,5.959653145,0.633698333,5236.73517,88.94528866,1,1000,normal,"(200, 1000)",[[0.86666667 0.86666667 0.88333333 0.95       0.91666667]],50,adam,0.3
jackknife_plus_ab,sinex_het,0.903333333,4.697357962,0.67809961,6140.628673,114.1548917,0,1000,normal,"(200, 1000)",[[0.81666667 0.88333333 0.95       0.93333333 0.93333333]],50,adam,0.5
jackknife_plus_ab,sinex_het,0.9,4.671369081,0.701216061,6678.791971,113.3630843,0.2,1000,normal,"(200, 1000)",[[0.78333333 0.86666667 0.93333333 0.91666667 1.        ]],50,adam,0.5
jackknife_plus_ab,sinex_het,0.873333333,5.060384703,0.700719439,5861.541761,114.8159995,0.5,1000,normal,"(200, 1000)",[[0.91666667 0.88333333 0.66666667 0.95       0.95      ]],50,adam,0.5
jackknife_plus_ab,sinex_het,0.883333333,5.518880174,0.609091616,5210.26787,107.5289609,1,1000,normal,"(200, 1000)",[[0.91666667 0.95       0.86666667 0.8        0.88333333]],50,adam,0.5
jackknife_plus_ab,sinex_con,0.896666667,0.570653184,0.91397613,12782.25967,10.64520288,0,1000,normal,"(200, 1000)",[[0.66666667 0.95       1.         1.         0.86666667]],5,adam,0.1
jackknife_plus_ab,sinex_con,0.933333333,1.23527738,0.829530605,10645.19247,8.444687128,0.2,1000,normal,"(200, 1000)",[[0.95       0.96666667 0.96666667 0.91666667 0.86666667]],5,adam,0.1
jackknife_plus_ab,sinex_con,0.923333333,1.819403508,0.785634046,10086.02966,10.94602108,0.5,1000,normal,"(200, 1000)",[[0.96666667 0.91666667 0.93333333 0.93333333 0.86666667]],5,adam,0.1
jackknife_plus_ab,sinex_con,0.903333333,3.366851735,0.689880681,7641.818866,7.355845451,1,1000,normal,"(200, 1000)",[[0.86666667 0.93333333 0.88333333 0.9        0.93333333]],5,adam,0.1
jackknife_plus_ab,sinex_con,0.896666667,0.630382422,0.904972169,12620.04926,15.2982893,0,1000,normal,"(200, 1000)",[[0.86666667 0.96666667 0.83333333 0.9        0.91666667]],5,adam,0.3
jackknife_plus_ab,sinex_con,0.91,0.962118437,0.867234082,11837.20918,13.26393127,0.2,1000,normal,"(200, 1000)",[[0.9        0.93333333 0.95       0.96666667 0.8       ]],5,adam,0.3
jackknife_plus_ab,sinex_con,0.9,1.766017211,0.789332341,10101.20826,11.34144473,0.5,1000,normal,"(200, 1000)",[[0.9        0.85       0.95       0.88333333 0.91666667]],5,adam,0.3
jackknife_plus_ab,sinex_con,0.893333333,3.399015458,0.694227247,7371.299988,10.1980834,1,1000,normal,"(200, 1000)",[[0.9        0.93333333 0.85       0.9        0.88333333]],5,adam,0.3
jackknife_plus_ab,sinex_con,0.92,0.596322099,0.910106282,12708.57132,16.34985137,0,1000,normal,"(200, 1000)",[[1.         1.         1.         0.78333333 0.81666667]],5,adam,0.5
jackknife_plus_ab,sinex_con,0.93,0.928185689,0.871569035,11729.72703,14.49085069,0.2,1000,normal,"(200, 1000)",[[0.95       0.98333333 0.9        0.88333333 0.93333333]],5,adam,0.5
jackknife_plus_ab,sinex_con,0.913333333,1.806282979,0.807505363,10123.39942,13.23706627,0.5,1000,normal,"(200, 1000)",[[0.96666667 0.85       0.95       0.91666667 0.88333333]],5,adam,0.5
jackknife_plus_ab,sinex_con,0.95,3.441855122,0.636123924,7179.264341,12.14098358,1,1000,normal,"(200, 1000)",[[0.95       0.9        0.98333333 0.95       0.96666667]],5,adam,0.5
jackknife_plus_ab,sinex_con,0.903333333,0.741272504,0.888255899,12030.6169,15.61660433,0,1000,normal,"(200, 1000)",[[0.98333333 0.9        0.78333333 0.95       0.9       ]],10,adam,0.1
jackknife_plus_ab,sinex_con,0.906666667,1.428947454,0.803836412,9842.917678,14.11691427,0.2,1000,normal,"(200, 1000)",[[0.96666667 0.96666667 0.91666667 0.86666667 0.81666667]],10,adam,0.1
jackknife_plus_ab,sinex_con,0.886666667,1.673909852,0.802284853,9921.688743,15.60547352,0.5,1000,normal,"(200, 1000)",[[0.81666667 0.9        0.9        0.88333333 0.93333333]],10,adam,0.1
