strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features
split,poly_multi,0.956666667,0.371900698,0.951703802,8740.062455,10.23045206,0.5,300,normal,"(200, 1000)",999,50,adam,1,0.048293142,5
split,poly_multi,0.993333333,0.57369289,0.925495083,8150.095484,9.303588629,1,300,normal,"(200, 1000)",999,50,adam,1,0.074496855,5
split_resid_norm,poly_multi,0.946666667,1.287590827,0.832798159,6845.592119,7.911032677,0,300,normal,"(200, 1000)",[[0.76666667 0.98333333 0.98333333 1.         1.        ]],50,adam,1,0.167200027,5
split_resid_norm,poly_multi,0.95,8161.963705,-1058.868644,10077.94191,7.77504015,0.2,300,normal,"(200, 1000)",[[0.75 1.   1.   1.   1.  ]],50,adam,1,1059.871291,5
split_resid_norm,poly_multi,0.893333333,1.374915332,0.821460418,6476.661992,7.058719158,0.5,300,normal,"(200, 1000)",[[0.53333333 0.93333333 1.         1.         1.        ]],50,adam,1,0.178539545,5
split_resid_norm,poly_multi,0.94,0.615532102,0.920068645,8086.178034,7.949979544,1,300,normal,"(200, 1000)",[[0.78333333 0.96666667 0.96666667 0.98333333 1.        ]],50,adam,1,0.079929883,5
jackknife_plus_ab,poly_multi,0.9,0.2919537,0.96208837,8902.057092,231.9467933,0,300,normal,"(200, 1000)",[[0.93333333 0.95       0.93333333 0.93333333 0.75      ]],50,adam,1,0.03791163,5
jackknife_plus_ab,poly_multi,0.906666667,0.285583509,0.962915528,8947.566403,235.7070704,0.2,300,normal,"(200, 1000)",[[0.96666667 0.95       0.95       0.9        0.76666667]],50,adam,1,0.037084429,5
jackknife_plus_ab,poly_multi,0.936666667,0.296823768,0.961454675,8885.067157,235.0410647,0.5,300,normal,"(200, 1000)",[[1.         1.         0.98333333 0.93333333 0.76666667]],50,adam,1,0.038544032,5
jackknife_plus_ab,poly_multi,0.896666667,0.27305243,0.964542783,8981.564989,237.9598362,1,300,normal,"(200, 1000)",[[1.         0.88333333 0.96666667 0.95       0.68333333]],50,adam,1,0.035457206,5
split,poly_multi,0.726666667,4.249369621,0.780512561,8978.073996,1.219539642,0,300,normal,"(200, 1000)",999,50,adam,1,0.219463988,10
split,poly_multi,0.92,6.042959766,0.687903539,5845.308403,1.047175169,0.2,300,normal,"(200, 1000)",999,50,adam,1,0.312096186,10
split,poly_multi,0.98,5.916492144,0.694430948,8562.882567,5.280347824,0.5,300,normal,"(200, 1000)",999,50,adam,1,0.305564608,10
split,poly_multi,0.98,8.336230091,0.569461366,4597.487124,2.92556572,1,300,normal,"(200, 1000)",999,50,adam,1,0.430534989,10
split_resid_norm,poly_multi,0.893333333,18.53887075,0.042536921,8099.888956,5.317943811,0,300,normal,"(200, 1000)",[[0.58333333 0.9        0.98333333 1.         1.        ]],50,adam,1,0.957463077,10
split_resid_norm,poly_multi,0.973333333,1115.416586,-56.60677487,2392.223267,1.965211868,0.2,300,normal,"(200, 1000)",[[0.86666667 1.         1.         1.         1.        ]],50,adam,1,57.60707929,10
split_resid_norm,poly_multi,0.976666667,13199.98974,-680.7259147,14390.55884,1.364276886,0.5,300,normal,"(200, 1000)",[[0.88333333 1.         1.         1.         1.        ]],50,adam,1,681.7299159,10
