strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc
jackknife_plus,nmm,0.9266666666666666,9.031598732565598,0.6592433346093731,7970.039162496797,16.637233018875122,1.5,300,laplace,"(200, 1000)",[[0.9        0.93333333 0.91666667 0.91666667 0.96666667]]
jackknife_plus,nmm,0.91,12.683071780585614,0.5188361996362296,5175.686362484959,9.55487060546875,2.0,300,laplace,"(200, 1000)",[[0.83333333 0.93333333 0.96666667 0.96666667 0.85      ]]
jackknife_plus_ab,nmm,0.9033333333333332,2.8763601382050727,0.809601714288383,17005.397294842245,241.74536609649653,0.5,300,laplace,"(200, 1000)",[[0.85       0.95       0.95       0.91666667 0.85      ]]
jackknife_plus_ab,nmm,0.9166666666666666,5.380442811917694,0.7179525875747733,13071.875654802589,197.5222442150116,1.0,300,laplace,"(200, 1000)",[[0.91666667 0.88333333 0.88333333 0.96666667 0.93333333]]
jackknife_plus_ab,nmm,0.9,7.024419909375402,0.7349733217248007,10804.182919729468,179.84595942497253,1.5,300,laplace,"(200, 1000)",[[0.85       0.91666667 0.91666667 0.86666667 0.95      ]]
jackknife_plus_ab,nmm,0.9033333333333332,11.39047625602216,0.5678740586536986,6816.403949543719,127.31206846237184,2.0,300,laplace,"(200, 1000)",[[0.9        0.85       0.93333333 0.93333333 0.9       ]]
cqr,nmm,0.87,2.814086125076633,0.813723167647146,17117.86980981464,0.0629994869232177,0.5,300,laplace,"(200, 1000)",[[0.7        0.88333333 0.95       0.93333333 0.88333333]]
cqr,nmm,0.9233333333333332,5.983579764837566,0.6863354809421973,13295.050770762942,0.0559995174407959,1.0,300,laplace,"(200, 1000)",[[0.86666667 0.93333333 0.88333333 0.96666667 0.96666667]]
cqr,nmm,0.9233333333333332,7.771267960858401,0.706794858038686,11280.720177093088,0.0610010623931884,1.5,300,laplace,"(200, 1000)",[[0.91666667 0.91666667 0.9        0.95       0.93333333]]
cqr,nmm,0.88,9.566423458797802,0.6370737718246491,11684.916199848703,0.0615103244781494,2.0,300,laplace,"(200, 1000)",[[0.8        0.88333333 0.81666667 0.93333333 0.96666667]]
split,sinex_het,0.9466666666666668,7.103147893295827,0.569863367277848,3299.323554522396,16.239566564559937,0.5,300,laplace,"(200, 1000, 1000, 1000)",999
split,sinex_het,0.87,6.678356977936468,0.5942023284956928,4849.061163396167,9.47188925743103,1.0,300,laplace,"(200, 1000, 1000, 1000)",999
split,sinex_het,0.9566666666666668,9.524734614988676,0.4230430021240743,2406.2679090778706,18.117515325546265,1.5,300,laplace,"(200, 1000, 1000, 1000)",999
split,sinex_het,0.91,10.712328827649726,0.6141969867800275,2886.575528222921,10.349462747573853,2.0,300,laplace,"(200, 1000, 1000, 1000)",999
split_resid_norm,sinex_het,0.94,8.65697820862486,0.4757707180437492,2661.6050018085125,16.788423776626587,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.73333333 0.96666667 1.         1.         1.        ]]
split_resid_norm,sinex_het,0.97,14.788843526890954,0.1013847124098731,871.36566028384,12.655831813812256,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.86666667 0.98333333 1.         1.         1.        ]]
split_resid_norm,sinex_het,0.89,9.548739254108645,0.4215902503947366,3557.795440965001,10.582642316818236,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.63333333 0.85       0.98333333 1.         0.98333333]]
split_resid_norm,sinex_het,0.94,12.90319636879352,0.5352924185203476,2444.965228533485,13.354706048965454,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.83333333 0.91666667 0.98333333 1.         0.96666667]]
jackknife_plus,sinex_het,0.9533333333333334,7.190527274489459,0.5645716914519106,2802.3214217300147,40.71610903739929,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[1.         0.96666667 0.95       0.88333333 0.96666667]]
jackknife_plus,sinex_het,0.8766666666666667,7.428986769579284,0.5485920317709273,3150.877249628935,30.445140838623047,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.91666667 0.78333333 0.88333333 0.93333333 0.86666667]]
jackknife_plus,sinex_het,0.9633333333333334,9.866216283061716,0.4023576796082593,1910.3591648840124,44.54207611083984,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.95       0.96666667 0.98333333 0.96666667 0.95      ]]
jackknife_plus,sinex_het,0.9233333333333332,12.271606389781164,0.5580395916408162,1405.389035247298,27.063920736312863,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.9        0.93333333 0.98333333 0.88333333 0.91666667]]
jackknife_plus_ab,sinex_het,0.92,6.069222155680799,0.632474350049077,4516.181973106425,323.5973701477051,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.86666667 0.96666667 0.95       0.93333333 0.88333333]]
jackknife_plus_ab,sinex_het,0.8533333333333334,6.706449009064355,0.5924946163137241,4208.321409142314,299.62050676345825,1.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.76666667 0.95       0.9        0.88333333 0.76666667]]
jackknife_plus_ab,sinex_het,0.94,9.03011438110251,0.4530049884711106,2769.7015127935324,336.5533654689789,1.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.98333333 0.95       0.93333333 0.91666667 0.91666667]]
jackknife_plus_ab,sinex_het,0.9166666666666666,11.28707886848456,0.5934973449038556,2351.548497080664,326.96103715896606,2.0,300,laplace,"(200, 1000, 1000, 1000)",[[0.95       0.93333333 0.9        0.86666667 0.93333333]]
cqr,sinex_het,0.9166666666666666,5.763290742514846,0.6510002828812431,4659.697346313023,0.0710010528564453,0.5,300,laplace,"(200, 1000, 1000, 1000)",[[0.91666667 0.88333333 0.95       0.88333333 0.95      ]]
