strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
split,sinex_con,0.85,3.302946977112179,0.6948260304446314,8085.118318158447,5.530022859573364,1.0,500,normal,"(200, 1000)",999,50,lbfgs,1
split_resid_norm,sinex_con,0.9166666666666666,0.7126258577126054,0.8925740365529757,12446.259001989618,5.461170673370361,0.0,500,normal,"(200, 1000)",[[0.66666667 0.98333333 1.         1.         0.93333333]],50,lbfgs,1
split_resid_norm,sinex_con,0.91,1.0281344471783953,0.859030801094595,11423.050070426663,5.009602308273315,0.2,500,normal,"(200, 1000)",[[0.71666667 0.96666667 0.98333333 1.         0.88333333]],50,lbfgs,1
split_resid_norm,sinex_con,0.9466666666666668,2.7681021706598856,0.6659187998899666,8239.496807546995,4.429248571395874,0.5,500,normal,"(200, 1000)",[[0.81666667 0.95       0.96666667 1.         1.        ]],50,lbfgs,1
split_resid_norm,sinex_con,0.96,4.693275092719441,0.5663678581212718,5605.673960207361,4.699467897415161,1.0,500,normal,"(200, 1000)",[[0.95       0.95       0.96666667 0.96666667 0.96666667]],50,lbfgs,1
jackknife_plus_ab,sinex_con,0.9033333333333332,0.6426600919850685,0.9031213551755812,12566.90437903012,125.11468553543092,0.0,500,normal,"(200, 1000)",[[0.78333333 0.86666667 0.95       0.93333333 0.98333333]],50,lbfgs,1
jackknife_plus_ab,sinex_con,0.8733333333333333,0.8306302948053269,0.8861103583639022,12135.099880545407,119.59940457344057,0.2,500,normal,"(200, 1000)",[[0.91666667 0.93333333 0.85       0.98333333 0.68333333]],50,lbfgs,1
jackknife_plus_ab,sinex_con,0.9266666666666666,1.868525306269122,0.7744888183263509,9942.864088082426,118.48149275779724,0.5,500,normal,"(200, 1000)",[[0.91666667 0.93333333 0.93333333 0.91666667 0.93333333]],50,lbfgs,1
jackknife_plus_ab,sinex_con,0.8966666666666666,3.4434786108369813,0.6818434908282272,7417.076144365328,117.18465209007265,1.0,500,normal,"(200, 1000)",[[0.9        0.86666667 0.91666667 0.93333333 0.86666667]],50,lbfgs,1
split,cube,0.9033333333333332,0.1196669138703771,0.9802232391423492,3799.833094552092,5.70302414894104,0.0,500,normal,"(200, 1000)",999,50,sgd,1
split,cube,0.85,0.6708292113931106,0.9267381951742754,3613.976860596034,3.99968194961548,0.2,500,normal,"(200, 1000)",999,50,sgd,1
split,cube,0.8766666666666667,1.8851314326812767,0.7476218741760856,2410.6162559905933,1.401113986968994,0.5,500,normal,"(200, 1000)",999,50,sgd,1
split,cube,0.8766666666666667,3.515343830693155,0.6031322089854235,966.8338790142876,2.2596259117126465,1.0,500,normal,"(200, 1000)",999,50,sgd,1
split_resid_norm,cube,0.9933333333333332,0.1692676677236985,0.9720175151175108,3759.056431220088,7.828853130340576,0.0,500,normal,"(200, 1000)",[[1.         1.         1.         1.         0.96666667]],50,sgd,1
split_resid_norm,cube,0.9066666666666666,0.9009229538744516,0.9016125415110392,3255.9887885153494,4.011426687240601,0.2,500,normal,"(200, 1000)",[[0.91666667 0.88333333 0.93333333 0.98333333 0.81666667]],50,sgd,1
split_resid_norm,cube,0.8966666666666666,1.6581694516258203,0.7780074998476239,3087.70895971053,2.3868298530578613,0.5,500,normal,"(200, 1000)",[[0.83333333 0.8        0.96666667 0.91666667 0.96666667]],50,sgd,1
split_resid_norm,cube,0.9266666666666666,3.5556371133120743,0.5985831703699318,1240.629953725538,2.5434367656707764,1.0,500,normal,"(200, 1000)",[[0.9        0.9        0.96666667 0.96666667 0.9       ]],50,sgd,1
jackknife_plus_ab,cube,0.9533333333333334,0.0641188944051863,0.9894005779858804,3971.538982802353,139.15754985809326,0.0,500,normal,"(200, 1000)",[[1.         1.         1.         1.         0.76666667]],50,sgd,1
jackknife_plus_ab,cube,0.8533333333333334,0.6708442305575708,0.9267368535902182,3521.6232667257923,122.64328169822691,0.2,500,normal,"(200, 1000)",[[0.88333333 0.86666667 0.88333333 0.71666667 0.91666667]],50,sgd,1
jackknife_plus_ab,cube,0.9,1.6116748463936736,0.7842321155412311,2959.6575595776626,89.74092650413513,0.5,500,normal,"(200, 1000)",[[0.86666667 0.9        0.86666667 0.93333333 0.93333333]],50,sgd,1
jackknife_plus_ab,cube,0.9133333333333332,3.270035829896909,0.6308266618288255,1498.714046296826,78.8480920791626,1.0,500,normal,"(200, 1000)",[[0.96666667 0.83333333 0.86666667 1.         0.9       ]],50,sgd,1
split,cube,0.9133333333333332,0.0693265461376868,0.9946142158155464,5152.290470861187,6.083506345748901,0.0,500,normal,"(200, 1000)",999,50,lbfgs,1
split,cube,0.89,0.6971593254214258,0.919181077052266,3743.1609417511672,3.670414447784424,0.2,500,normal,"(200, 1000)",999,50,lbfgs,1
split,cube,0.8966666666666666,1.5988288438214404,0.808406153916014,1984.8485292452424,2.3583970069885254,0.5,500,normal,"(200, 1000)",999,50,lbfgs,1
split,cube,0.8,2.494189746699683,0.7431732586005791,2380.9533908058725,2.3569157123565674,1.0,500,normal,"(200, 1000)",999,50,lbfgs,1
