strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
jackknife_plus_ab,poly_multi,0.898,2.44176503,0.680933663,4450.931254,329.7182391,0.2,500,normal,"(200, 1000)",[[0.98 0.88 0.93 0.9  0.8 ]],500,sgd,1,0.319066334,5,relu
jackknife_plus_ab,poly_multi,0.902,2.541455928,0.667907017,4143.708807,276.6261282,0.5,500,normal,"(200, 1000)",[[0.73 0.99 1.   0.98 0.81]],500,sgd,1,0.332092981,5,relu
jackknife_plus_ab,poly_multi,0.902,2.675110264,0.650442356,3738.172788,276.1571248,1,500,normal,"(200, 1000)",999,500,sgd,1,0.349557642,5,relu
jackknife_plus,poly_multi,0.904,5.740442009,0.717449675,10644.0892,280.8881934,0,500,normal,"(200, 1000)",[[0.9  0.91 0.92 0.89 0.9 ]],500,sgd,1,0.282550314,10,relu
jackknife_plus,poly_multi,0.908,5.67808231,0.720519047,10932.70167,280.854445,0.2,500,normal,"(200, 1000)",[[0.94 0.9  0.92 0.94 0.84]],500,sgd,1,0.279480907,10,relu
jackknife_plus,poly_multi,0.91,5.663385357,0.72124242,10995.20626,277.6763663,0.5,500,normal,"(200, 1000)",[[0.95 0.91 0.93 0.95 0.81]],500,sgd,1,0.278757508,10,relu
jackknife_plus,poly_multi,0.906,5.417983519,0.73332139,12142.08419,280.7511675,1,500,normal,"(200, 1000)",[[0.91 0.88 0.94 0.89 0.91]],500,sgd,1,0.266678583,10,relu
jackknife_plus_ab,poly_multi,0.902,5.75360904,0.716801589,10476.00851,281.8277032,0,500,normal,"(200, 1000)",[[0.92 0.89 0.83 0.96 0.91]],500,sgd,1,0.283198408,10,relu
jackknife_plus_ab,poly_multi,0.902,5.674196743,0.720710342,10824.4256,281.9150128,0.2,500,normal,"(200, 1000)",[[0.92 0.91 0.91 0.91 0.86]],500,sgd,1,0.279289655,10,relu
jackknife_plus_ab,poly_multi,0.902,5.504661801,0.729055022,11436.62661,282.5874922,0.5,500,normal,"(200, 1000)",[[0.96 0.93 0.89 0.94 0.79]],500,sgd,1,0.270944975,10,relu
jackknife_plus_ab,poly_multi,0.904,5.325359835,0.737880435,12231.4026,282.0112853,1,500,normal,"(200, 1000)",[[0.89 0.9  0.91 0.9  0.92]],500,sgd,1,0.262119553,10,relu
jackknife_plus,poly_multi,0.922,0.098099863,0.960460397,5084.230037,324.7200336,0,500,normal,"(200, 1000)",[[0.98 0.94 0.87 0.92 0.9 ]],500,lbfgs,1,0.039539138,3,relu
jackknife_plus,poly_multi,0.938,0.059641583,0.975960058,5303.143749,345.1110864,0.2,500,normal,"(200, 1000)",[[0.98 0.97 0.96 0.94 0.84]],500,lbfgs,1,0.024038533,3,relu
jackknife_plus,poly_multi,0.912,0.095691331,0.961431482,5144.435058,347.3878226,0.5,500,normal,"(200, 1000)",[[0.92 0.96 0.93 0.83 0.92]],500,lbfgs,1,0.038568379,3,relu
jackknife_plus,poly_multi,0.928,0.069384082,0.972033992,5264.767425,340.8241158,1,500,normal,"(200, 1000)",[[0.95 0.93 0.93 0.93 0.9 ]],500,lbfgs,1,0.027965246,3,relu
jackknife_plus_ab,poly_multi,0.908,0.070447034,0.97160627,5230.159569,330.9816332,0,500,normal,"(200, 1000)",[[0.89 0.94 0.9  0.96 0.85]],500,lbfgs,1,0.028393668,3,relu
jackknife_plus_ab,poly_multi,0.904,0.05204761,0.979022202,5335.801429,343.6669517,0.2,500,normal,"(200, 1000)",[[0.89 0.93 0.87 0.94 0.89]],500,lbfgs,1,0.020977783,3,relu
jackknife_plus_ab,poly_multi,0.9,0.069475987,0.971997712,5253.297665,348.623347,0.5,500,normal,"(200, 1000)",[[0.98 0.97 0.89 0.9  0.76]],500,lbfgs,1,0.028002288,3,relu
jackknife_plus_ab,poly_multi,0.898,0.062271871,0.974901326,5282.609444,342.7308385,1,500,normal,"(200, 1000)",[[0.97 0.94 0.9  0.87 0.81]],500,lbfgs,1,0.02509867,3,relu
jackknife_plus,poly_multi,0.92,1.074904233,0.859541525,11430.59964,347.0465691,0,500,normal,"(200, 1000)",[[0.97 0.88 0.89 0.94 0.92]],500,lbfgs,1,0.140458131,5,relu
jackknife_plus,poly_multi,0.918,1.055179191,0.862119068,11470.32814,346.2789083,0.2,500,normal,"(200, 1000)",[[0.93 0.93 0.94 0.91 0.88]],500,lbfgs,1,0.137880653,5,relu
jackknife_plus,poly_multi,0.912,1.058853909,0.861639046,11661.69725,358.0155959,0.5,500,normal,"(200, 1000)",[[0.92 0.92 0.91 0.91 0.9 ]],500,lbfgs,1,0.13836083,5,relu
jackknife_plus,poly_multi,0.906,1.12381877,0.853150157,11261.38583,339.1550815,1,500,normal,"(200, 1000)",[[0.91 0.88 0.92 0.93 0.89]],500,lbfgs,1,0.146849812,5,relu
jackknife_plus_ab,poly_multi,0.9,1.021343272,0.866540699,11714.86524,346.1871867,0,500,normal,"(200, 1000)",[[0.86 0.96 0.84 0.95 0.89]],500,lbfgs,1,0.133459301,5,relu
jackknife_plus_ab,poly_multi,0.906,1.049128179,0.862910004,11589.2208,346.4661353,0.2,500,normal,"(200, 1000)",[[0.86 0.92 0.88 0.94 0.93]],500,lbfgs,1,0.137089965,5,relu
jackknife_plus_ab,poly_multi,0.902,1.056068439,0.862003145,11629.43091,351.8436003,0.5,500,normal,"(200, 1000)",[[0.86 0.94 0.9  0.93 0.88]],500,lbfgs,1,0.137996851,5,relu
jackknife_plus_ab,poly_multi,0.902,1.065442389,0.860778248,11530.38777,348.4585631,1,500,normal,"(200, 1000)",[[0.9  0.94 0.91 0.91 0.85]],500,lbfgs,1,0.139221749,5,relu
jackknife_plus,poly_multi,0.906,4.892422954,0.759190007,17113.93253,367.532912,0,500,normal,"(200, 1000)",[[0.93 0.87 0.92 0.94 0.87]],500,lbfgs,1,0.240809965,10,relu
jackknife_plus,poly_multi,0.906,4.73922792,0.76673042,17457.487,369.0812459,0.2,500,normal,"(200, 1000)",[[0.91 0.89 0.93 0.94 0.86]],500,lbfgs,1,0.233269552,10,relu
jackknife_plus,poly_multi,0.904,4.668776729,0.770198114,17929.50554,365.0271971,0.5,500,normal,"(200, 1000)",[[0.91 0.93 0.91 0.91 0.86]],500,lbfgs,1,0.229801874,10,relu
jackknife_plus,poly_multi,0.918,4.512648246,0.777882675,18470.96819,367.3532174,1,500,normal,"(200, 1000)",[[0.95 0.92 0.94 0.95 0.83]],500,lbfgs,1,0.222117073,10,relu
jackknife_plus_ab,poly_multi,0.902,4.529223001,0.777067098,18272.52866,357.5235262,0,500,normal,"(200, 1000)",[[0.91 0.92 0.91 0.9  0.87]],500,lbfgs,1,0.222932899,10,relu
jackknife_plus_ab,poly_multi,0.902,4.53924665,0.776573724,18292.29267,356.6946337,0.2,500,normal,"(200, 1000)",[[0.88 0.88 0.92 0.94 0.89]],500,lbfgs,1,0.223426273,10,relu
jackknife_plus_ab,poly_multi,0.9,4.364374443,0.785181112,18913.41549,362.5503426,0.5,500,normal,"(200, 1000)",[[0.94 0.91 0.89 0.86 0.9 ]],500,lbfgs,1,0.214818888,10,relu
