strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
jackknife_plus_ab,linear,0.936666667,0.013949062,0.998603751,20025.07687,408.08515,0,1000,normal,"(400, 2000, 2000, 2000)",[[0.98333333 1.         0.95       0.81666667 0.93333333]],10,sgd,0.5
jackknife_plus_ab,linear,0.913333333,0.669733164,0.937447092,18146.80647,471.5356991,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.95       0.91666667 0.93333333 0.9       ]],10,sgd,0.5
jackknife_plus_ab,linear,0.896666667,1.617668346,0.861736052,15775.71962,422.8847039,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.86666667 0.9        0.86666667 0.9       ]],10,sgd,0.5
jackknife_plus_ab,linear,0.906666667,3.193117306,0.749732231,12400.37508,441.1534193,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.98333333 0.88333333 0.9        0.85      ]],10,sgd,0.5
jackknife_plus_ab,linear,0.896666667,1.569886447,0.843011346,14091.58336,93.80960155,0,1000,normal,"(400, 2000, 2000, 2000)",[[0.58333333 0.93333333 1.         1.         0.96666667]],10,lbfgs,0.1
jackknife_plus_ab,linear,0.9,1.799375777,0.825025993,13496.66994,103.9850569,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.9        0.93333333 0.91666667 0.81666667]],10,lbfgs,0.1
jackknife_plus_ab,linear,0.916666667,2.384756932,0.803269116,12377.41271,106.804882,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.81666667 0.93333333 0.96666667 0.95       0.91666667]],10,lbfgs,0.1
jackknife_plus_ab,linear,0.863333333,3.598680894,0.744296095,11090.07797,111.9047961,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.81666667 0.88333333 0.88333333 0.93333333 0.8       ]],10,lbfgs,0.1
jackknife_plus_ab,linear,0.95,0.120167268,0.987980803,19622.68682,340.9377706,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         0.96666667 1.         0.78333333]],10,lbfgs,0.3
jackknife_plus_ab,linear,0.896666667,0.681599712,0.933598232,17932.68748,356.1984601,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.93333333 0.81666667 0.88333333 0.91666667]],10,lbfgs,0.3
