strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
jackknife_plus_ab,linear_multi,0.908,0.052964554,0.982926855,5817.128981,164.7806883,0.5,500,normal,"(200, 1000)",[[0.98 0.94 0.97 0.92 0.73]],50,adam,1,0.017073082,10,relu
jackknife_plus_ab,linear_multi,0.904,0.052170396,0.983182898,5823.000253,173.0037696,1,500,normal,"(200, 1000)",[[0.97 0.94 0.92 0.96 0.73]],50,adam,1,0.016817086,10,relu
split_resid_norm,linear_multi,0.95,0.274531537,0.911502696,4958.20111,3.189058065,0,500,normal,"(200, 1000)",[[0.75 1.   1.   1.   1.  ]],50,adam,1,0.088495025,10,tanh
split_resid_norm,linear_multi,0.914,0.124307345,0.959929437,5504.93621,3.100407362,0.2,500,normal,"(200, 1000)",[[0.61 0.97 0.99 1.   1.  ]],50,adam,1,0.040070375,10,tanh
split_resid_norm,linear_multi,0.896,10.47851074,-2.377739641,3420.873487,3.366125107,0.5,500,normal,"(200, 1000)",[[0.48 1.   1.   1.   1.  ]],50,adam,1,3.377739679,10,tanh
split_resid_norm,linear_multi,0.92,0.630597652,0.796727025,4517.8178,3.62450099,1,500,normal,"(200, 1000)",[[0.6 1.  1.  1.  1. ]],50,adam,1,0.203272656,10,tanh
cv_plus,linear_multi,0.93,0.029513201,0.990485552,5934.888566,86.35159016,0,500,normal,"(200, 1000)",[[0.94 0.87 0.92 0.96 0.96]],50,adam,1,0.009513557,10,tanh
cv_plus,linear_multi,0.92,0.029004297,0.990650092,5937.378189,95.05016327,0.2,500,normal,"(200, 1000)",[[0.95 0.95 0.95 0.92 0.83]],50,adam,1,0.009349512,10,tanh
cv_plus,linear_multi,0.932,0.03225505,0.989601597,5918.955012,88.56449628,0.5,500,normal,"(200, 1000)",[[0.99 0.94 0.96 0.92 0.85]],50,adam,1,0.01039739,10,tanh
cv_plus,linear_multi,0.918,0.032646573,0.989476082,5914.489066,89.58539915,1,500,normal,"(200, 1000)",[[0.93 0.93 0.94 0.91 0.88]],50,adam,1,0.010523597,10,tanh
jackknife_plus_ab,linear_multi,0.904,0.025665807,0.991726631,5956.984256,86.13233471,0,500,normal,"(200, 1000)",[[0.93 0.93 0.87 0.94 0.85]],50,adam,1,0.008273353,10,tanh
jackknife_plus_ab,linear_multi,0.906,0.026308167,0.991519547,5951.599572,87.23588085,0.2,500,normal,"(200, 1000)",[[0.89 0.93 0.91 0.92 0.88]],50,adam,1,0.008480417,10,tanh
jackknife_plus_ab,linear_multi,0.902,0.027441851,0.991154137,5945.013139,89.93710256,0.5,500,normal,"(200, 1000)",[[0.95 0.94 0.93 0.85 0.84]],50,adam,1,0.008845859,10,tanh
jackknife_plus_ab,linear_multi,0.9,0.0287157,0.990743517,5936.000553,89.94541597,1,500,normal,"(200, 1000)",[[0.94 0.9  0.86 0.92 0.88]],50,adam,1,0.009256483,10,tanh
split_resid_norm,linear_multi,0.956,7.28082E+14,-2.34696E+14,7.28082E+14,1.597410679,0,500,normal,"(200, 1000)",[[0.78 1.   1.   1.   1.  ]],50,adam,1,2.34697E+14,10,logistic
split_resid_norm,linear_multi,0.946,1797.838762,-578.530684,2007.588731,13.28853178,0.2,500,normal,"(200, 1000)",[[0.73 1.   1.   1.   1.  ]],50,adam,1,579.5319081,10,logistic
split_resid_norm,linear_multi,0.986,31.95312715,-9.299996575,256.110623,24.38552594,0.5,500,normal,"(200, 1000)",[[0.93 1.   1.   1.   1.  ]],50,adam,1,10.30006536,10,logistic
split_resid_norm,linear_multi,0.956,8.051919509,-1.595524905,507.207414,24.36897612,1,500,normal,"(200, 1000)",[[0.78 1.   1.   1.   1.  ]],50,adam,1,2.595529909,10,logistic
cv_plus,linear_multi,0.918,1.746363974,0.437060807,215.9184323,73.86849642,0,500,normal,"(200, 1000)",[[1.   1.   1.   0.99 0.6 ]],50,adam,1,0.562939051,10,logistic
cv_plus,linear_multi,0.944,1.603656595,0.483061625,309.9276968,334.5363281,0.2,500,normal,"(200, 1000)",[[1.   1.   1.   1.   0.72]],50,adam,1,0.51693744,10,logistic
cv_plus,linear_multi,0.942,1.048802893,0.661918046,1041.566336,540.1259415,0.5,500,normal,"(200, 1000)",[[1.   1.   1.   0.99 0.72]],50,adam,1,0.338080786,10,logistic
cv_plus,linear_multi,0.932,0.935981044,0.698286533,1333.184113,558.3743606,1,500,normal,"(200, 1000)",[[1.   1.   1.   0.99 0.67]],50,adam,1,0.301712752,10,logistic
jackknife_plus_ab,linear_multi,0.9,1.63278772,0.473672165,282.0937212,92.00873923,0,500,normal,"(200, 1000)",[[1.  1.  1.  1.  0.5]],50,adam,1,0.526327835,10,logistic
jackknife_plus_ab,linear_multi,0.902,1.274901758,0.589036421,684.2149204,278.0085502,0.2,500,normal,"(200, 1000)",[[0.82 0.94 0.94 0.87 0.94]],50,adam,1,0.410963577,10,logistic
jackknife_plus_ab,linear_multi,0.896,0.700435276,0.774215228,2255.128623,523.0269129,0.5,500,normal,"(200, 1000)",[[1.   1.   1.   0.95 0.53]],50,adam,1,0.225784759,10,logistic
