strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
jackknife_plus,non_linear_multi,0.906,1.0753647488827218,0.7035666244544663,3276.959390950546,348.35173058509827,0.5,500,normal,"(200, 1000)",[[0.87 0.93 0.96 0.91 0.86]],500,adam,1,0.2964333502171348,10,relu
jackknife_plus_ab,non_linear_multi,0.9,1.084265543523128,0.7011130707738902,3242.955472019746,34.53399991989136,0.5,500,normal,"(200, 1000)",[[0.81 0.87 0.91 0.94 0.97]],50,adam,1,0.2988869292261098,10,relu
cqr,non_linear_multi,0.902,0.7652846514756685,0.7890428371058118,3052.304117572838,0.0659377574920654,0.5,500,normal,"(200, 1000)",[[0.87 0.87 0.9  0.92 0.95]],50,adam,1,0.2109571597380169,10,relu
split,linear_multi,0.974,0.0614683272632058,0.9355095871739664,2044.3781584476983,10.315353631973268,0.5,500,normal,"(200, 1000, 1000, 1000)",999,50,adam,1,0.0644852899615079,3,relu
split_resid_norm,linear_multi,0.89,0.0674836893020151,0.9292040115986766,2058.9749754807126,10.144222736358644,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.54 0.91 1.   1.   1.  ]],50,adam,1,0.0707958954809175,3,relu
jackknife_plus,linear_multi,0.994,0.0292994305339098,0.9692539427203573,2201.306612481753,3257.2717821598053,0.5,500,normal,"(200, 1000, 1000, 1000)",[[1.   1.   1.   1.   0.97]],500,adam,1,0.0307374929139676,3,relu
jackknife_plus_ab,linear_multi,0.91,0.0156234811229593,0.9836095953580763,2267.532909741068,291.88718700408936,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.97 1.   0.92 0.94 0.72]],50,adam,1,0.0163903062809592,3,relu
cqr,linear_multi,0.902,0.1193539180712551,0.8747879994033767,1561.7858445820482,0.2564320564270019,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.74 0.93 0.95 0.95 0.94]],50,adam,1,0.1252119970974713,3,relu
split,linear_multi,0.958,0.1650099734510378,0.9351338496888302,4682.391670617451,10.093975067138672,0.5,500,normal,"(200, 1000, 1000, 1000)",999,50,adam,1,0.0648630045156081,5,relu
split_resid_norm,linear_multi,0.918,0.3013301032656187,0.8815512628078036,4215.119314869998,10.300596952438354,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.75 0.87 0.97 1.   1.  ]],50,adam,1,0.118448451569541,5,relu
jackknife_plus,linear_multi,0.96,0.1214596460106232,0.9522525634293252,4893.516294929174,4328.956127166748,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.96 0.97 0.96 0.98 0.93]],500,adam,1,0.047744008455276,5,relu
jackknife_plus_ab,linear_multi,0.918,0.0918922816181025,0.963878177270518,4989.224681501278,284.58890318870544,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.95 0.89 0.84 0.96 0.95]],50,adam,1,0.0361215104329018,5,relu
cqr,linear_multi,0.902,0.3926137349956185,0.8456692859741449,2927.864134653716,0.9375512599945068,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.78 0.92 0.89 0.97 0.95]],50,adam,1,0.154330710643178,5,relu
split,linear_multi,0.876,0.3071853394889396,0.9009785289153668,4590.9446377022,10.125543117523192,0.5,500,normal,"(200, 1000, 1000, 1000)",999,50,adam,1,0.099020952120851,10,relu
split_resid_norm,linear_multi,0.906,75.83547555109571,-23.44550494116676,1452.094490792551,10.059695959091188,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.53 1.   1.   1.   1.  ]],50,adam,1,24.445505785204944,10,relu
jackknife_plus,linear_multi,0.95,0.2886018636552409,0.906967149249573,4617.553114807085,3311.760840892792,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.99 0.99 0.94 0.9  0.93]],500,adam,1,0.0930305833297195,10,relu
jackknife_plus_ab,linear_multi,0.91,0.2506081836746651,0.9192165575511706,4763.284032644455,288.2384674549103,0.5,500,normal,"(200, 1000, 1000, 1000)",[[0.93 0.96 0.93 0.9  0.83]],50,adam,1,0.0807833505271691,10,relu
