strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features
cqr,poly_multi,0.902,634.9027613284798,0.6410938587225369,398538.0811851099,0.6750555038452148,1.0,500,normal,"(200, 1000)",[[0.94 0.97 0.96 0.89 0.75]],5,adam,1,0.3589061387130877,510.0
cqr,non_linear_multi,0.902,0.1276239551276902,0.8801526463520782,1780.9723219940363,0.0525763034820556,0.0,500,normal,"(200, 1000)",[[0.78 0.92 0.9  0.95 0.96]],5,adam,1,0.1198473501273112,3.0
cqr,non_linear_multi,0.902,0.1276239551276902,0.8801526463520782,1780.9723219940363,0.0555522441864013,0.2,500,normal,"(200, 1000)",[[0.78 0.92 0.9  0.95 0.96]],5,adam,1,0.1198473501273112,3.0
cqr,non_linear_multi,0.902,0.1276239551276902,0.8801526463520782,1780.9723219940363,0.0500962734222412,0.5,500,normal,"(200, 1000)",[[0.78 0.92 0.9  0.95 0.96]],5,adam,1,0.1198473501273112,3.0
cqr,non_linear_multi,0.902,0.1276239551276902,0.8801526463520782,1780.9723219940363,0.0550556182861328,1.0,500,normal,"(200, 1000)",[[0.78 0.92 0.9  0.95 0.96]],5,adam,1,0.1198473501273112,3.0
cqr,non_linear_multi,0.902,9.711220622096494,0.61853345134788,5067.526130003714,0.6507515907287598,0.0,500,normal,"(200, 1000)",[[0.95 0.98 0.95 0.89 0.74]],5,adam,1,0.3814665461779863,510.0
cqr,non_linear_multi,0.902,9.711220622096494,0.61853345134788,5067.526130003714,0.7568955421447754,0.2,500,normal,"(200, 1000)",[[0.95 0.98 0.95 0.89 0.74]],5,adam,1,0.3814665461779863,510.0
cqr,non_linear_multi,0.902,9.711220622096494,0.61853345134788,5067.526130003714,0.6770391464233398,0.5,500,normal,"(200, 1000)",[[0.95 0.98 0.95 0.89 0.74]],5,adam,1,0.3814665461779863,510.0
cqr,non_linear_multi,0.902,9.711220622096494,0.61853345134788,5067.526130003714,0.651247501373291,1.0,500,normal,"(200, 1000)",[[0.95 0.98 0.95 0.89 0.74]],5,adam,1,0.3814665461779863,510.0
jackknife_plus_ab,linear_multi,0.9033333333333332,1.811912838962453,-3.914830342342346,17.321257694179724,18.51552939414978,0.0,300,normal,"(200, 1000)",999,10,adam,1,4.914830385840461,3.0
